Day,Hour,Total Trips,Day Number
Friday,0,98195,5
Friday,1,60240,5
Friday,2,40902,5
Friday,3,36199,5
Friday,4,42847,5
Friday,5,63129,5
Friday,6,108932,5
Friday,7,170283,5
Friday,8,196343,5
Friday,9,167459,5
Friday,10,150233,5
Friday,11,148201,5
Friday,12,154060,5
Friday,13,162678,5
Friday,14,179542,5
Friday,15,180431,5
Friday,16,193634,5
Friday,17,218186,5
Friday,18,235844,5
Friday,19,237726,5
Friday,20,215607,5
Friday,21,207992,5
Friday,22,215968,5
Friday,23,208542,5
Monday,0,55190,1
Monday,1,34313,1
Monday,2,23482,1
Monday,3,21063,1
Monday,4,25750,1
Monday,5,39559,1
Monday,6,67401,1
Monday,7,104018,1
Monday,8,125479,1
Monday,9,110879,1
Monday,10,99262,1
Monday,11,96800,1
Monday,12,98028,1
Monday,13,103872,1
Monday,14,116395,1
Monday,15,120336,1
Monday,16,125293,1
Monday,17,136985,1
Monday,18,137123,1
Monday,19,122499,1
Monday,20,111529,1
Monday,21,105417,1
Monday,22,94268,1
Monday,23,79714,1
Saturday,0,172429,6
Saturday,1,132886,6
Saturday,2,98629,6
Saturday,3,76095,6
Saturday,4,60263,6
Saturday,5,55288,6
Saturday,6,72207,6
Saturday,7,93248,6
Saturday,8,120542,6
Saturday,9,146654,6
Saturday,10,159673,6
Saturday,11,171558,6
Saturday,12,185510,6
Saturday,13,195535,6
Saturday,14,194987,6
Saturday,15,206469,6
Saturday,16,214806,6
Saturday,17,232173,6
Saturday,18,249195,6
Saturday,19,254890,6
Saturday,20,234486,6
Saturday,21,220906,6
Saturday,22,233381,6
Saturday,23,220068,6
Sunday,0,148653,7
Sunday,1,114586,7
Sunday,2,86596,7
Sunday,3,65472,7
Sunday,4,49724,7
Sunday,5,41210,7
Sunday,6,49283,7
Sunday,7,61057,7
Sunday,8,68153,7
Sunday,9,84143,7
Sunday,10,91858,7
Sunday,11,96967,7
Sunday,12,106196,7
Sunday,13,106995,7
Sunday,14,110728,7
Sunday,15,110024,7
Sunday,16,110910,7
Sunday,17,111939,7
Sunday,18,118111,7
Sunday,19,117013,7
Sunday,20,105956,7
Sunday,21,98352,7
Sunday,22,94626,7
Sunday,23,81209,7
Thursday,0,123829,4
Thursday,1,97241,4
Thursday,2,82246,4
Thursday,3,69497,4
Thursday,4,62699,4
Thursday,5,71633,4
Thursday,6,109036,4
Thursday,7,166439,4
Thursday,8,187042,4
Thursday,9,156953,4
Thursday,10,135344,4
Thursday,11,130915,4
Thursday,12,132689,4
Thursday,13,142794,4
Thursday,14,161261,4
Thursday,15,165193,4
Thursday,16,175393,4
Thursday,17,198191,4
Thursday,18,201137,4
Thursday,19,195277,4
Thursday,20,187321,4
Thursday,21,179460,4
Thursday,22,169088,4
Thursday,23,142074,4
Tuesday,0,50676,2
Tuesday,1,29526,2
Tuesday,2,20227,2
Tuesday,3,18920,2
Tuesday,4,26581,2
Tuesday,5,47029,2
Tuesday,6,86001,2
Tuesday,7,140738,2
Tuesday,8,165209,2
Tuesday,9,139179,2
Tuesday,10,114922,2
Tuesday,11,105511,2
Tuesday,12,105246,2
Tuesday,13,111562,2
Tuesday,14,128414,2
Tuesday,15,128674,2
Tuesday,16,138060,2
Tuesday,17,157893,2
Tuesday,18,155381,2
Tuesday,19,143134,2
Tuesday,20,137830,2
Tuesday,21,129777,2
Tuesday,22,112387,2
Tuesday,23,88311,2
Wednesday,0,56650,3
Wednesday,1,32113,3
Wednesday,2,21630,3
Wednesday,3,20059,3
Wednesday,4,27623,3
Wednesday,5,47844,3
Wednesday,6,89709,3
Wednesday,7,147273,3
Wednesday,8,170144,3
Wednesday,9,140246,3
Wednesday,10,114967,3
Wednesday,11,107033,3
Wednesday,12,106455,3
Wednesday,13,112384,3
Wednesday,14,127685,3
Wednesday,15,127780,3
Wednesday,16,137751,3
Wednesday,17,157495,3
Wednesday,18,158382,3
Wednesday,19,149841,3
Wednesday,20,141357,3
Wednesday,21,136444,3
Wednesday,22,122312,3
Wednesday,23,97210,3
