Location ID,Borough,Zone,Dropoff Trips
1,EWR,Newark Airport,108669
2,Queens,Jamaica Bay,36
3,Bronx,Allerton/Pelham Gardens,48111
4,Manhattan,Alphabet City,48985
5,Staten Island,Arden Heights,5998
6,Staten Island,Arrochar/Fort Wadsworth,12549
7,Queens,Astoria,203143
8,Queens,Astoria Park,394
9,Queens,Auburndale,19387
10,Queens,Baisley Park,60189
11,Brooklyn,Bath Beach,28074
12,Manhattan,Battery Park,2308
13,Manhattan,Battery Park City,70901
14,Brooklyn,Bay Ridge,129839
15,Queens,Bay Terrace/Fort Totten,15205
16,Queens,Bayside,43807
17,Brooklyn,Bedford,185469
18,Bronx,Bedford Park,96142
19,Queens,Bellerose,15191
20,Bronx,Belmont,58956
21,Brooklyn,Bensonhurst East,62521
22,Brooklyn,Bensonhurst West,84505
23,Staten Island,Bloomfield/Emerson Hill,36437
24,Manhattan,Bloomingdale,25638
25,Brooklyn,Boerum Hill,108386
26,Brooklyn,Borough Park,134900
27,Queens,Breezy Point/Fort Tilden/Riis Beach,1197
28,Queens,Briarwood/Jamaica Hills,53110
29,Brooklyn,Brighton Beach,50111
30,Queens,Broad Channel,1137
31,Bronx,Bronx Park,6499
32,Bronx,Bronxdale,48752
33,Brooklyn,Brooklyn Heights,95615
34,Brooklyn,Brooklyn Navy Yard,17361
35,Brooklyn,Brownsville,119283
36,Brooklyn,Bushwick North,181364
37,Brooklyn,Bushwick South,247806
38,Queens,Cambria Heights,20677
39,Brooklyn,Canarsie,155004
40,Brooklyn,Carroll Gardens,52388
41,Manhattan,Central Harlem,121255
42,Manhattan,Central Harlem North,169666
43,Manhattan,Central Park,34145
44,Staten Island,Charleston/Tottenville,10110
45,Manhattan,Chinatown,42078
46,Bronx,City Island,3572
47,Bronx,Claremont/Bathgate,68630
48,Manhattan,Clinton East,142294
49,Brooklyn,Clinton Hill,131970
50,Manhattan,Clinton West,77647
51,Bronx,Co-Op City,76795
52,Brooklyn,Cobble Hill,31903
53,Queens,College Point,35354
54,Brooklyn,Columbia Street,12605
55,Brooklyn,Coney Island,61597
56,Queens,Corona,65214
57,Queens,Corona,4966
58,Bronx,Country Club,7244
59,Bronx,Crotona Park,2568
60,Bronx,Crotona Park East,45065
61,Brooklyn,Crown Heights North,291609
62,Brooklyn,Crown Heights South,79064
63,Brooklyn,Cypress Hills,66254
64,Queens,Douglaston,13285
65,Brooklyn,Downtown Brooklyn/MetroTech,81562
66,Brooklyn,DUMBO/Vinegar Hill,65550
67,Brooklyn,Dyker Heights,43263
68,Manhattan,East Chelsea,190820
69,Bronx,East Concourse/Concourse Village,108356
70,Queens,East Elmhurst,44879
71,Brooklyn,East Flatbush/Farragut,89431
72,Brooklyn,East Flatbush/Remsen Village,105300
73,Queens,East Flushing,23417
74,Manhattan,East Harlem North,134727
75,Manhattan,East Harlem South,127037
76,Brooklyn,East New York,242167
77,Brooklyn,East New York/Pennsylvania Avenue,61408
78,Bronx,East Tremont,91267
79,Manhattan,East Village,205744
80,Brooklyn,East Williamsburg,164160
81,Bronx,Eastchester,57300
82,Queens,Elmhurst,159282
83,Queens,Elmhurst/Maspeth,55167
84,Staten Island,Eltingville/Annadale/Prince's Bay,9646
85,Brooklyn,Erasmus,66740
86,Queens,Far Rockaway,39960
87,Manhattan,Financial District North,100960
88,Manhattan,Financial District South,46479
89,Brooklyn,Flatbush/Ditmas Park,172533
90,Manhattan,Flatiron,108941
91,Brooklyn,Flatlands,101429
92,Queens,Flushing,111942
93,Queens,Flushing Meadows-Corona Park,9138
94,Bronx,Fordham South,41215
95,Queens,Forest Hills,154171
96,Queens,Forest Park/Highland Park,2523
97,Brooklyn,Fort Greene,130279
98,Queens,Fresh Meadows,20081
99,Staten Island,Freshkills Park,687
100,Manhattan,Garment District,82281
101,Queens,Glen Oaks,15007
102,Queens,Glendale,55267
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,6
106,Brooklyn,Gowanus,46000
107,Manhattan,Gramercy,126991
108,Brooklyn,Gravesend,34479
109,Staten Island,Great Kills,14764
110,Staten Island,Great Kills Park,80
111,Brooklyn,Green-Wood Cemetery,979
112,Brooklyn,Greenpoint,206292
113,Manhattan,Greenwich Village North,93725
114,Manhattan,Greenwich Village South,103539
115,Staten Island,Grymes Hill/Clifton,16236
116,Manhattan,Hamilton Heights,86789
117,Queens,Hammels/Arverne,31286
118,Staten Island,Heartland Village/Todt Hill,22376
119,Bronx,Highbridge,68668
120,Manhattan,Highbridge Park,2451
121,Queens,Hillcrest/Pomonok,48255
122,Queens,Hollis,25447
123,Brooklyn,Homecrest,75174
124,Queens,Howard Beach,33082
125,Manhattan,Hudson Sq,59080
126,Bronx,Hunts Point,73585
127,Manhattan,Inwood,74701
128,Manhattan,Inwood Hill Park,6945
129,Queens,Jackson Heights,160110
130,Queens,Jamaica,166856
131,Queens,Jamaica Estates,34125
132,Queens,JFK Airport,312486
133,Brooklyn,Kensington,44391
134,Queens,Kew Gardens,49082
135,Queens,Kew Gardens Hills,38294
136,Bronx,Kingsbridge Heights,51073
137,Manhattan,Kips Bay,105728
138,Queens,LaGuardia Airport,319723
139,Queens,Laurelton,36343
140,Manhattan,Lenox Hill East,120940
141,Manhattan,Lenox Hill West,115005
142,Manhattan,Lincoln Square East,122962
143,Manhattan,Lincoln Square West,77654
144,Manhattan,Little Italy/NoLiTa,110529
145,Queens,Long Island City/Hunters Point,170725
146,Queens,Long Island City/Queens Plaza,53556
147,Bronx,Longwood,41578
148,Manhattan,Lower East Side,148040
149,Brooklyn,Madison,57777
150,Brooklyn,Manhattan Beach,25040
151,Manhattan,Manhattan Valley,51447
152,Manhattan,Manhattanville,43794
153,Manhattan,Marble Hill,15965
154,Brooklyn,Marine Park/Floyd Bennett Field,1354
155,Brooklyn,Marine Park/Mill Basin,63161
156,Staten Island,Mariners Harbor,26462
157,Queens,Maspeth,62853
158,Manhattan,Meatpacking/West Village West,95128
159,Bronx,Melrose South,100697
160,Queens,Middle Village,53896
161,Manhattan,Midtown Center,189345
162,Manhattan,Midtown East,141571
163,Manhattan,Midtown North,126309
164,Manhattan,Midtown South,153875
165,Brooklyn,Midwood,72219
166,Manhattan,Morningside Heights,81035
167,Bronx,Morrisania/Melrose,77762
168,Bronx,Mott Haven/Port Morris,138355
169,Bronx,Mount Hope,93766
170,Manhattan,Murray Hill,163271
171,Queens,Murray Hill-Queens,45073
172,Staten Island,New Dorp/Midland Beach,13528
173,Queens,North Corona,56113
174,Bronx,Norwood,91871
175,Queens,Oakland Gardens,16500
176,Staten Island,Oakwood,7050
177,Brooklyn,Ocean Hill,89446
178,Brooklyn,Ocean Parkway South,24598
179,Queens,Old Astoria,81870
180,Queens,Ozone Park,33765
181,Brooklyn,Park Slope,213470
182,Bronx,Parkchester,50017
183,Bronx,Pelham Bay,25826
184,Bronx,Pelham Bay Park,3475
185,Bronx,Pelham Parkway,66427
186,Manhattan,Penn Station/Madison Sq West,130266
187,Staten Island,Port Richmond,15170
188,Brooklyn,Prospect-Lefferts Gardens,167967
189,Brooklyn,Prospect Heights,81245
190,Brooklyn,Prospect Park,14385
191,Queens,Queens Village,52397
192,Queens,Queensboro Hill,27213
193,Queens,Queensbridge/Ravenswood,33570
194,Manhattan,Randalls Island,4983
195,Brooklyn,Red Hook,39377
196,Queens,Rego Park,53572
197,Queens,Richmond Hill,90422
198,Queens,Ridgewood,152394
200,Bronx,Riverdale/North Riverdale/Fieldston,41367
201,Queens,Rockaway Park,13697
202,Manhattan,Roosevelt Island,12994
203,Queens,Rosedale,30058
204,Staten Island,Rossville/Woodrow,5556
205,Queens,Saint Albans,80118
206,Staten Island,Saint George/New Brighton,46652
207,Queens,Saint Michaels Cemetery/Woodside,3966
208,Bronx,Schuylerville/Edgewater Park,69912
209,Manhattan,Seaport,35697
210,Brooklyn,Sheepshead Bay,74009
211,Manhattan,SoHo,94514
212,Bronx,Soundview/Bruckner,55890
213,Bronx,Soundview/Castle Hill,104377
214,Staten Island,South Beach/Dongan Hills,18387
215,Queens,South Jamaica,57208
216,Queens,South Ozone Park,121836
217,Brooklyn,South Williamsburg,47101
218,Queens,Springfield Gardens North,39009
219,Queens,Springfield Gardens South,32255
220,Bronx,Spuyten Duyvil/Kingsbridge,70869
221,Staten Island,Stapleton,25896
222,Brooklyn,Starrett City,25880
223,Queens,Steinway,113262
224,Manhattan,Stuy Town/Peter Cooper Village,33603
225,Brooklyn,Stuyvesant Heights,177365
226,Queens,Sunnyside,142296
227,Brooklyn,Sunset Park East,60700
228,Brooklyn,Sunset Park West,111466
229,Manhattan,Sutton Place/Turtle Bay North,87621
230,Manhattan,Times Sq/Theatre District,185475
231,Manhattan,TriBeCa/Civic Center,180269
232,Manhattan,Two Bridges/Seward Park,69572
233,Manhattan,UN/Turtle Bay South,89799
234,Manhattan,Union Sq,180221
235,Bronx,University Heights/Morris Heights,85947
236,Manhattan,Upper East Side North,142370
237,Manhattan,Upper East Side South,156535
238,Manhattan,Upper West Side North,94796
239,Manhattan,Upper West Side South,113683
240,Bronx,Van Cortlandt Park,11467
241,Bronx,Van Cortlandt Village,75999
242,Bronx,Van Nest/Morris Park,84977
243,Manhattan,Washington Heights North,98989
244,Manhattan,Washington Heights South,148931
245,Staten Island,West Brighton,16722
246,Manhattan,West Chelsea/Hudson Yards,193908
247,Bronx,West Concourse,101165
248,Bronx,West Farms/Bronx River,49111
249,Manhattan,West Village,155156
250,Bronx,Westchester Village/Unionport,56100
251,Staten Island,Westerleigh,16194
252,Queens,Whitestone,30133
253,Queens,Willets Point,678
254,Bronx,Williamsbridge/Olinville,94314
255,Brooklyn,Williamsburg (North Side),195589
256,Brooklyn,Williamsburg (South Side),169831
257,Brooklyn,Windsor Terrace,37084
258,Queens,Woodhaven,64613
259,Bronx,Woodlawn/Wakefield,59071
260,Queens,Woodside,97705
261,Manhattan,World Trade Center,60912
262,Manhattan,Yorkville East,62346
263,Manhattan,Yorkville West,102735
264,Unknown,,344
265,,Outside of NYC,819240
